MichaelAnti_2012G-0110154-011|OW N L IY sp IH N sp DH IH S sp W EY sp IH N sp DH AH sp F Y UW CH ER sp W IY sp W IH L sp AH CH IY V sp DH AH sp D R IY M Z sp AH V sp DH AH sp M AW S sp DH AE T sp W IY sp K AE N sp T W IY T sp EH N IY T AY M sp EH N IY W EH R sp W IH DH AW T sp F IH R sp|OW N L IY sp IH N sp DH IH S sp W EY sp IH N sp DH AH sp F Y UW CH ER sp W IY sp W IH L sp AH CH IY V sp DH AH sp D R IY M Z sp AH V sp DH AH sp M AW S sp DH AE T sp W IY sp K AE N sp T W IY T sp EH N IY T AY M sp EH N IY W EH R sp W IH DH AW T sp F IH R sp
RaffaelloDAndrea_2013G-0060991-006|M AH SH IY N Z sp K AH N sp N AA T sp OW N L IY sp P ER F AO R M sp D AY N AE M IH K sp M AH N UW V ER Z sp AA N sp DH EH R sp OW N sp DH EY sp K AH N sp D UW sp IH T sp K AH L EH K T IH V L IY sp|M AH SH IY N Z sp K AH N sp N AA T sp OW N L IY sp P ER F AO R M sp D AY N AE M IH K sp M AH N UW V ER Z sp AA N sp DH EH R sp OW N sp DH EY sp K AH N sp D UW sp IH T sp K AH L EH K T IH V L IY sp
BruceBuenodeMesquita_2009-0006934-000|N AW sp B IH F AO R sp AY G EH T sp IH N T AH sp HH AW sp T IH sp D UW sp IH T sp L EH T sp M IY sp G IH V sp Y UW sp AH L IH T AH L sp T R UW TH sp IH N sp AE D V ER T AY Z IH NG sp B IH K AH Z sp AY M sp N AA T sp EH N G EY JH D sp IH N sp DH AH sp B IH Z N AH S sp AH V sp M AE JH IH K sp|N AW sp B IH F AO R sp AY G EH T sp IH N T AH sp HH AW sp T IH sp D UW sp IH T sp L EH T sp M IY sp G IH V sp Y UW sp AH L IH T AH L sp T R UW TH sp IH N sp AE D V ER T AY Z IH NG sp B IH K AH Z sp AY M sp N AA T sp EH N G EY JH D sp IH N sp DH AH sp B IH Z N AH S sp AH V sp M AE JH IH K sp
SheenaIyengar_2011S-0074347-007|B IH K AH Z sp DH AH sp K AE T AH G AO R IY Z sp T EH L sp M IY sp HH AW sp T AH sp T EH L sp DH AH M sp AH P AA R T sp|B IH K AH Z sp DH AH sp K AE T AH G AO R IY Z sp T EH L sp M IY sp HH AW sp T AH sp T EH L sp DH AH M sp AH P AA R T sp
StewartBrand_2013-0055470-005|HH UW sp W AH Z sp S T IH L sp AH L AY V sp|HH UW sp W AH Z sp S T IH L sp AH L AY V sp
NancyLublin_2012U-0027810-002|DH IH S sp IH Z sp R IY L IY sp T IH sp M IY sp DH AH sp P AW ER sp AH V sp T EH K S T IH NG sp AH N D sp DH AH sp P AW ER sp AH V sp D EY T AH sp B IH K AH Z sp W AY L sp P IY P AH L sp ER T AO K IH NG sp AH B AW T sp D EY T AH sp M EY K IH NG sp IH T sp P AA S AH B AH L sp F ER sp F EY S AH B UH K sp T AH sp M AY N sp M AY sp F R EH N D sp F ER M sp DH AH sp TH ER D sp G R EY D sp AO R sp T AA R G AH T sp T IH sp N OW sp W EH N sp IH T S sp T AY M sp F ER sp M IY sp T AH sp B AY sp M AO R sp D AY P ER Z sp AO R sp S AH M sp D UW D sp T AH sp B IH L D sp AH B EH T ER sp B EY S B AO L sp T IY M sp|DH IH S sp IH Z sp R IY L IY sp T IH sp M IY sp DH AH sp P AW ER sp AH V sp T EH K S T IH NG sp AH N D sp DH AH sp P AW ER sp AH V sp D EY T AH sp B IH K AH Z sp W AY L sp P IY P AH L sp ER T AO K IH NG sp AH B AW T sp D EY T AH sp M EY K IH NG sp IH T sp P AA S AH B AH L sp F ER sp F EY S AH B UH K sp T AH sp M AY N sp M AY sp F R EH N D sp F ER M sp DH AH sp TH ER D sp G R EY D sp AO R sp T AA R G AH T sp T IH sp N OW sp W EH N sp IH T S sp T AY M sp F ER sp M IY sp T AH sp B AY sp M AO R sp D AY P ER Z sp AO R sp S AH M sp D UW D sp T AH sp B IH L D sp AH B EH T ER sp B EY S B AO L sp T IY M sp
BrewsterKahle_2007P-0027417-002|AE N D sp W IY sp S AO R T sp AH V sp S EH D sp W EH L sp HH AW sp HH AA R D sp IH Z sp DH IH S sp AH N D sp IH T sp T ER N Z sp AW T sp T AH sp N AA T sp B IY sp V EH R IY sp HH AA R D sp W IY sp AE K SH L IY sp W EH N T sp AO F sp T AH sp M EY K sp AH B UH K M OW B IY L sp AH N D sp AH B UH K M OW B IY L sp DH AH sp S AY Z sp AH V sp AH V AE N sp W IH DH sp AH S AE T AH L AY T sp D IH SH sp AH P R IH N T ER sp B AY N D ER sp AH N D sp K AH T ER sp AE N D sp K IH D Z sp M EY K sp DH EH R sp OW N sp B UH K S sp IH T sp K AO S sp AH B AW T sp TH R IY sp D AA L ER Z sp|AE N D sp W IY sp S AO R T sp AH V sp S EH D sp W EH L sp HH AW sp HH AA R D sp IH Z sp DH IH S sp AH N D sp IH T sp T ER N Z sp AW T sp T AH sp N AA T sp B IY sp V EH R IY sp HH AA R D sp W IY sp AE K SH L IY sp W EH N T sp AO F sp T AH sp M EY K sp AH B UH K M OW B IY L sp AH N D sp AH B UH K M OW B IY L sp DH AH sp S AY Z sp AH V sp AH V AE N sp W IH DH sp AH S AE T AH L AY T sp D IH SH sp AH P R IH N T ER sp B AY N D ER sp AH N D sp K AH T ER sp AE N D sp K IH D Z sp M EY K sp DH EH R sp OW N sp B UH K S sp IH T sp K AO S sp AH B AW T sp TH R IY sp D AA L ER Z sp
SebastianThrun_2011-0013797-001|AE N D sp IY V IH N sp K R UH K AH D sp L AA M B AA R D sp S T R IY T sp IH N sp S AE N sp F R AE N S IH S K OW sp|AE N D sp IY V IH N sp K R UH K AH D sp L AA M B AA R D sp S T R IY T sp IH N sp S AE N sp F R AE N S IH S K OW sp
BarrySchuler_2008P-0055515-005|F AO R sp AH B AW T sp D AA L ER sp F AY V sp TH AW Z AH N D sp IH N sp AH B AW T sp AE N sp AW ER sp ER AH HH AE F sp AW ER sp Y UW sp W AH L sp S IY sp DH AE T sp HH AE P AH N sp IH N sp DH AH sp N EH K S sp F AY V sp Y ER Z sp AH N D sp W AH T sp DH AE T sp M IY N Z sp IH Z sp Y UW sp ER G OW IH N sp T AH sp W AO K sp ER AW N D sp W IH DH sp Y AO R sp OW N sp P ER S IH N IH L sp JH IY N OW M sp AA N sp AH S M AA R T sp K AA R D sp|F AO R sp AH B AW T sp D AA L ER sp F AY V sp TH AW Z AH N D sp IH N sp AH B AW T sp AE N sp AW ER sp ER AH HH AE F sp AW ER sp Y UW sp W AH L sp S IY sp DH AE T sp HH AE P AH N sp IH N sp DH AH sp N EH K S sp F AY V sp Y ER Z sp AH N D sp W AH T sp DH AE T sp M IY N Z sp IH Z sp Y UW sp ER G OW IH N sp T AH sp W AO K sp ER AW N D sp W IH DH sp Y AO R sp OW N sp P ER S IH N IH L sp JH IY N OW M sp AA N sp AH S M AA R T sp K AA R D sp
JohnKasaona_2010-0044882-004|DH AH T sp AE K SH AH L IY sp HH EH L P sp|DH AH T sp AE K SH AH L IY sp HH EH L P sp
